챔피언명,직업군,포지션,티어,종합_점수,변화량,승률,포지션_사용률,픽률,밴률,KDA
자야,원거리 딜러,원거리 딜러,A,52.38,1.57,49.83%,98.94%,9.73%,3.88%,2.3
제라스,마법사,서포터,A,53.03,0.58,51.26%,70.80%,4.09%,4.04%,2.48
제라스,마법사,미드,A,48.19,-2.63,50.81%,26.08%,1.44%,4.04%,3.13
신 짜오,전사,정글,C,38.19,0.99,50.34%,84.64%,2.40%,0.41%,2.25
야스오,전사,미드,최상위,85.15,-2.72,48.78%,69.95%,12.73%,21.08%,1.76
야스오,전사,탑,B,43.76,-2.39,47.51%,17.19%,2.96%,21.08%,1.49
야스오,전사,원거리 딜러,B,40.1,7.72,50.87%,11.31%,1.89%,21.08%,2.01
요네,암살자,미드,S,58.02,-1.12,49.25%,54.68%,6.82%,7.36%,1.89
요네,암살자,탑,S,57.2,1.88,49.34%,41.19%,4.81%,7.36%,1.63
요릭,전사,탑,A,48.83,0.63,51.68%,88.56%,2.92%,4.03%,1.52
유미,서포터,서포터,S,69.04,-4.32,46.68%,98.78%,7.67%,14.06%,4.18
자크,탱커,정글,A,53.35,0.93,51.77%,71.96%,3.11%,2.51%,3.59
자크,탱커,탑,B,44.32,-2.26,52.47%,13.44%,0.66%,2.51%,2.69
제드,암살자,미드,최상위,90.84,2.83,50.02%,84.93%,11.50%,30.48%,2.26
제리,원거리 딜러,원거리 딜러,C,39.89,0.19,48.18%,89.31%,4.21%,3.23%,2.27
직스,마법사,미드,B,43.66,4.37,50.11%,55.93%,1.67%,0.41%,2.34
직스,마법사,원거리 딜러,B,41.4,7.33,51.54%,30.60%,0.83%,0.41%,2.48
직스,마법사,서포터,D,31.09,-3.87,48.43%,12.71%,0.37%,0.42%,1.98
질리언,서포터,미드,A,52.02,4.9,53.91%,13.72%,0.31%,0.76%,3.52
질리언,서포터,서포터,B,45.21,1.15,50.12%,82.08%,2.11%,0.76%,3.03
조이,마법사,미드,A,49.82,1.34,50.44%,86.34%,2.98%,1.93%,2.6
조이,마법사,서포터,D,32.21,-1.45,48.67%,11.43%,0.40%,1.97%,2.11
자이라,마법사,서포터,B,46.64,-0.95,51.44%,90.88%,2.87%,1.96%,2.06
